Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_4color_40_190_72085.cnf,"(0.0001599032500166686, 0.00015990879331238025)","(4.3685099249999996e-05, 2.053315561393211e-05)","(5.08601275e-06, 5.003343529503865e-06)","(1.33405713e-05, 7.423777417149365e-06)","(6.2940624499999995e-06, 6.907961970041671e-06)","(6.21513295e-06, 6.8539270230413395e-06)"
sat_op_28_119_84304.cnf,"(1.4823875000047338e-05, 9.10466301314146e-06)","(4.0523986249999994e-05, 2.1197250855507987e-05)","(1.296697575e-05, 7.336839025843329e-06)","(1.325539e-05, 8.410635769646074e-06)","(9.265352274999998e-06, 9.074331476222225e-06)","(9.467657525e-06, 9.413402065305692e-06)"
unsat_cliquecoloring_36_176.cnf,"(6.313155000157167e-05, 6.150186269300816e-05)","(4.2630905250000005e-05, 1.745934771739396e-05)","(5.2161996999999995e-06, 5.193747035324994e-06)","(1.4409292625e-05, 8.058780867075283e-06)","(6.342370000000001e-06, 6.961627838271737e-06)","(9.489649325e-06, 8.715273226019973e-06)"
sat_subsetcard_12_36_64659.cnf,"(1.0389799996346483e-05, 7.177185979798611e-06)","(1.6110848499999998e-05, 9.05668874455997e-06)","(1.0522553425e-05, 8.060875746284805e-06)","(9.9503651e-06, 7.4215902656287915e-06)","(6.837575e-06, 6.757869112203566e-06)","(6.79409425e-06, 6.68781874663774e-06)"
unsat_tseitin_30_568_54824.cnf,"(1.7382552395250002, 1.1239541924652945)","(0.000283837505, 0.00010214285909371113)","(3.8830436999999995e-05, 1.5009519582299059e-05)","(9.4884245e-05, 6.822797490562962e-05)","(1.3642423999999999e-05, 1.1522112164397027e-05)","(1.32040277e-05, 1.138467891323229e-05)"
unsat_cliquecoloring_54_673.cnf,"(0.0003130068249902252, 0.00026385591639147)","(0.00015603395, 6.876206249982653e-05)","(5.4487375e-06, 5.413371599390884e-06)","(1.894022775e-05, 7.582611093645855e-06)","(6.757479875e-06, 7.422979170350273e-06)","(6.736002524999999e-06, 7.340306894908797e-06)"
unsat_matching_80_365_47440.cnf,"(0.019309660500027803, 0.015350060518512768)","(7.213863375e-05, 3.395844363415846e-05)","(5.501785e-06, 5.730501645285952e-06)","(1.7387203425e-05, 8.336046183721741e-06)","(6.61135525e-06, 7.390135863032135e-06)","(6.484660025e-06, 7.158465653653023e-06)"
unsat_tseitin_30_452_52851.cnf,"(4.52820556224998, 2.6822741999950357)","(0.000248672325, 8.696001420943207e-05)","(3.184661375e-05, 1.5566949336630388e-05)","(7.78680805e-05, 3.942928882440756e-05)","(1.2649018925e-05, 1.139942015568322e-05)","(1.2672237475e-05, 1.1329632839832506e-05)"
sat_3clique_24_255_7737.cnf,"(4.4006125006035286e-05, 5.433300506433587e-05)","(5.491714525e-05, 2.8772238658608123e-05)","(4.8553697e-06, 4.779440717873501e-06)","(1.3671544500000001e-05, 6.262502302335326e-06)","(9.350852599999999e-06, 8.839966690492125e-06)","(6.369512499999999e-06, 7.103775648960822e-06)"
sat_op_45_249_90577.cnf,"(2.010012505024861e-05, 1.2143531175775611e-05)","(7.356264025e-05, 3.663830069386954e-05)","(5.279695e-06, 5.257602420522878e-06)","(1.527781025e-05, 8.057850350500137e-06)","(1.014742945e-05, 9.735854930914834e-06)","(1.0495562175000001e-05, 9.916165899759067e-06)"
sat_tseitin_30_424_85097.cnf,"(2.4380924980960116e-05, 1.2766725736057536e-05)","(0.00024352664499999998, 6.191434002143063e-05)","(2.8506038249999997e-05, 1.407019011478076e-05)","(9.3392685e-05, 5.295893596201377e-05)","(1.2575602425e-05, 1.1530612694934113e-05)","(1.2103179975e-05, 1.0964530305896537e-05)"
sat_php_188_804_77056.cnf,"(4.364747500176236e-05, 2.3545628219314618e-05)","(0.0001432333905, 6.657474814386984e-05)","(6.4769277e-06, 7.014244572459601e-06)","(2.7251268e-05, 1.2991326805214834e-05)","(6.7408974749999995e-06, 7.4559229213641374e-06)","(6.656457549999999e-06, 7.316492737750923e-06)"
unsat_subsetcard_31_129_84276.cnf,"(0.0035673743249844845, 0.003431280700020613)","(4.5009182500000005e-05, 2.311499343986861e-05)","(1.65058625e-05, 1.0478944466747058e-05)","(1.6986067875e-05, 1.0686937853591332e-05)","(9.301226825e-06, 9.330837320572172e-06)","(9.1409877e-06, 9.138667865293112e-06)"
sat_dominating_60_970_53707.cnf,"(0.00012433807498837268, 0.00012581010523854253)","(0.0001612369135, 8.37375913470296e-05)","(5.4091426749999995e-06, 5.385634122190453e-06)","(2.451610725e-05, 1.349564103880111e-05)","(6.82118275e-06, 7.502644734496876e-06)","(6.851104475000001e-06, 7.50046818414364e-06)"
sat_cliquecoloring_69_305.cnf,"(6.766732503820095e-05, 7.482131145499447e-05)","(7.36315085e-05, 3.3683340062762024e-05)","(5.35833495e-06, 5.4828377679289865e-06)","(3.17490855e-05, 1.7224298115842057e-05)","(6.53867205e-06, 7.315665756149798e-06)","(6.45208245e-06, 7.131074344469142e-06)"
unsat_dominating_40_455_67184.cnf,"(6.99722499462041e-05, 7.313338596913166e-05)","(8.878348899999999e-05, 3.780327380099206e-05)","(5.09605005e-06, 5.044991089875086e-06)","(1.706524e-05, 7.367569287841818e-06)","(6.79698e-06, 7.58640582911961e-06)","(6.690242024999999e-06, 7.423672481883371e-06)"
