tsne_1,tsne_2,comp_name,cnf_name
4.5065484,15.038255,gwae2sat_auto,sat_op_45_249_69595.cnf
-8.057242,-13.481193,original,sat_cliquecoloring_55_227.cnf
-2.868435,12.556249,egnn2s,sat_cliquecoloring_55_227.cnf
-8.442162,-13.690473,g2sat,sat_cliquecoloring_55_227.cnf
-8.055733,-13.478669,w2sat,sat_cliquecoloring_55_227.cnf
-3.5668318,13.723952,gwae2sat_allo,sat_cliquecoloring_55_227.cnf
-4.6366363,14.435174,gwae2sat_auto,sat_cliquecoloring_55_227.cnf
-5.500935,-14.448915,original,sat_5color_50_260_2076.cnf
-2.9943984,12.331782,egnn2s,sat_5color_50_260_2076.cnf
-4.3490906,-14.828961,g2sat,sat_5color_50_260_2076.cnf
-5.501865,-14.441986,w2sat,sat_5color_50_260_2076.cnf
-5.7559977,13.529887,gwae2sat_allo,sat_5color_50_260_2076.cnf
-5.1588655,14.10616,gwae2sat_auto,sat_5color_50_260_2076.cnf
11.363131,-6.5323763,original,unsat_tiling_20_793_2570.cnf
10.209091,7.2315464,egnn2s,unsat_tiling_20_793_2570.cnf
11.899844,-6.168882,g2sat,unsat_tiling_20_793_2570.cnf
11.363033,-6.5324454,w2sat,unsat_tiling_20_793_2570.cnf
11.04491,-0.1773969,gwae2sat_allo,unsat_tiling_20_793_2570.cnf
11.2394705,-1.1739845,gwae2sat_auto,unsat_tiling_20_793_2570.cnf
7.340988,-9.803974,original,sat_cliquecoloring_99_561.cnf
10.425013,7.3952284,egnn2s,sat_cliquecoloring_99_561.cnf
7.950452,-9.391992,g2sat,sat_cliquecoloring_99_561.cnf
7.3397927,-9.803512,w2sat,sat_cliquecoloring_99_561.cnf
10.40726,0.0952111,gwae2sat_allo,sat_cliquecoloring_99_561.cnf
10.644543,-0.6283553,gwae2sat_auto,sat_cliquecoloring_99_561.cnf
19.429043,-4.287114,original,unsat_php_186_1660_24423.cnf
13.162019,5.853743,egnn2s,unsat_php_186_1660_24423.cnf
19.867065,-4.091327,g2sat,unsat_php_186_1660_24423.cnf
19.429005,-4.286815,w2sat,unsat_php_186_1660_24423.cnf
17.461138,-3.6605804,gwae2sat_allo,unsat_php_186_1660_24423.cnf
16.81258,-3.8682833,gwae2sat_auto,unsat_php_186_1660_24423.cnf
-7.224201,-14.291054,original,sat_op_45_249_85625.cnf
-0.7949107,11.686122,egnn2s,sat_op_45_249_85625.cnf
-5.1087437,-15.005451,g2sat,sat_op_45_249_85625.cnf
-6.446083,-14.4500265,w2sat,sat_op_45_249_85625.cnf
3.8286593,14.409688,gwae2sat_allo,sat_op_45_249_85625.cnf
3.8100564,15.257309,gwae2sat_auto,sat_op_45_249_85625.cnf
6.810151,-10.597011,original,sat_cliquecoloring_80_524.cnf
9.2082615,8.088585,egnn2s,sat_cliquecoloring_80_524.cnf
7.266256,-10.372054,g2sat,sat_cliquecoloring_80_524.cnf
6.809637,-10.596445,w2sat,sat_cliquecoloring_80_524.cnf
9.446902,1.2914242,gwae2sat_allo,sat_cliquecoloring_80_524.cnf
9.730165,0.8739208,gwae2sat_auto,sat_cliquecoloring_80_524.cnf
-17.243473,-2.391113,original,sat_cliquecoloring_45_137.cnf
-10.470669,12.311553,egnn2s,sat_cliquecoloring_45_137.cnf
-17.575714,-1.8709136,g2sat,sat_cliquecoloring_45_137.cnf
-17.242022,-2.3885446,w2sat,sat_cliquecoloring_45_137.cnf
-9.395921,12.637565,gwae2sat_allo,sat_cliquecoloring_45_137.cnf
-9.511116,12.393921,gwae2sat_auto,sat_cliquecoloring_45_137.cnf
-8.655733,-13.382807,original,sat_matching_60_251_14901.cnf
-1.3910254,11.866447,egnn2s,sat_matching_60_251_14901.cnf
-4.9184513,-14.271343,g2sat,sat_matching_60_251_14901.cnf
-5.9471064,-13.7571535,w2sat,sat_matching_60_251_14901.cnf
-2.7316153,14.282081,gwae2sat_allo,sat_matching_60_251_14901.cnf
-3.074726,14.842416,gwae2sat_auto,sat_matching_60_251_14901.cnf
1.1638458,-14.167981,original,sat_subsetcard_36_360_58681.cnf
7.2508807,9.621939,egnn2s,sat_subsetcard_36_360_58681.cnf
2.4997003,-13.843042,g2sat,sat_subsetcard_36_360_58681.cnf
1.1621621,-14.163995,w2sat,sat_subsetcard_36_360_58681.cnf
10.66446,0.065194786,gwae2sat_allo,sat_subsetcard_36_360_58681.cnf
10.472446,-0.4400124,gwae2sat_auto,sat_subsetcard_36_360_58681.cnf
-18.780352,-2.822674,original,sat_tseitin_20_130_36501.cnf
