Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
sat_op_45_249_85625.cnf,"[9.414899955118016e-06, 1.7878899961942805e-05, 4.00658999751613e-05, 1.5003600037744035e-05]","[8.9641144e-05, 4.7276895e-05, 0.00012489352, 3.200912e-05]","[2.37903e-06, 2.10196e-06, 1.38825e-05, 2.04358e-06]","[9.31194e-06, 1.02556905e-05, 3.1170108e-05, 1.222087e-05]","[3.43001e-06, 4.64186e-06, 2.747938e-05, 5.7403004e-06]","[3.49111e-06, 4.60701e-06, 2.6492427e-05, 5.68369e-06]"
sat_cliquecoloring_80_524.cnf,"[7.853500051169249e-06, 0.00010909200002515718, 0.00032465190004131727, 0.00010952779998660845]","[0.00016135626, 7.425542e-05, 0.00011474179, 4.182048e-05]","[2.58805e-06, 2.3152602e-06, 1.589954e-05, 2.35016e-06]","[1.21864305e-05, 1.56442e-05, 3.5170793e-05, 2.3918441e-05]","[2.5898898e-06, 2.4167498e-06, 1.9800467e-05, 2.42773e-06]","[2.63554e-06, 2.4209899e-06, 1.9621479e-05, 2.5190598e-06]"
sat_cliquecoloring_45_137.cnf,"[1.5085999962138885e-05, 2.414899997802422e-05, 0.00018670120000479072, 2.6856799991037406e-05]","[5.2951324e-05, 2.735696e-05, 6.574228e-05, 1.9039371e-05]","[2.35917e-06, 2.03675e-06, 1.45599e-05, 2.0682298e-06]","[1.4883791e-05, 1.0875519e-05, 5.1937423e-05, 1.24609e-05]","[3.19913e-06, 3.7267005e-06, 2.3672172e-05, 4.1330504e-06]","[3.2100002e-06, 3.6380602e-06, 2.36892e-05, 4.1869e-06]"
sat_matching_60_251_14901.cnf,"[6.377799991241773e-06, 1.4006300011715211e-05, 3.738379996320873e-05, 1.9292799947834283e-05]","[7.114607e-05, 3.698722e-05, 7.055917e-05, 2.168231e-05]","[2.4051499e-06, 2.08924e-06, 1.4269429e-05, 2.04262e-06]","[6.78058e-06, 9.97507e-06, 2.8001392e-05, 1.5981492e-05]","[2.4871101e-06, 2.27031e-06, 1.888704e-05, 2.3092198e-06]","[2.57508e-06, 2.34814e-06, 1.9604098e-05, 2.5947002e-06]"
sat_subsetcard_36_360_58681.cnf,"[1.584419999289821e-05, 1.660830000673741e-05, 4.766560002735787e-05, 1.1256199968556757e-05]","[0.0001604342, 7.8297664e-05, 0.00017138838, 5.0447445e-05]","[2.3538922e-05, 2.173147e-05, 5.477732e-05, 1.915123e-05]","[2.142963e-05, 1.766343e-05, 6.7975605e-05, 1.6191862e-05]","[4.0267196e-06, 5.8118203e-06, 2.875485e-05, 6.49118e-06]","[3.82186e-06, 5.6621893e-06, 2.8544091e-05, 6.2883096e-06]"
sat_tseitin_20_130_36501.cnf,"[1.0296499999640218e-05, 1.0793399997055531e-05, 3.489040000204113e-05, 7.103699977051292e-06]","[3.943988e-05, 4.1716998e-05, 0.00013375282, 4.453623e-05]","[8.98948e-06, 1.206525e-05, 3.468099e-05, 7.995641e-06]","[1.7343249e-05, 1.570859e-05, 8.211648e-05, 1.1549249e-05]","[3.3717502e-06, 4.61457e-06, 2.771242e-05, 4.6105297e-06]","[3.35695e-06, 4.3698205e-06, 2.737116e-05, 4.4547396e-06]"
sat_tseitin_30_468_86187.cnf,"[2.59204999792928e-05, 2.067899999929068e-05, 5.036749998907908e-05, 1.433390000329382e-05]","[0.00029354243, 0.0001569785, 0.0004052342, 0.00018386614]","[2.300529e-05, 2.877173e-05, 5.948633e-05, 2.090781e-05]","[8.928242e-05, 6.970626e-05, 0.00027151575, 5.7459758e-05]","[4.3015602e-06, 7.1919e-06, 3.203455e-05, 6.7232895e-06]","[4.2922397e-06, 7.23655e-06, 3.19862e-05, 6.812371e-06]"
unsat_cliquecoloring_37_230.cnf,"[1.486039998326305e-05, 1.4231300019673654e-05, 4.232899996168271e-05, 1.1708099987117748e-05]","[4.3123055e-05, 3.5614918e-05, 9.743248e-05, 4.031396e-05]","[2.32581e-06, 2.00972e-06, 1.388777e-05, 2.0419802e-06]","[7.72312e-06, 9.61189e-06, 2.58793e-05, 1.5200241e-05]","[2.5996699e-06, 2.29424e-06, 1.919655e-05, 2.34757e-06]","[2.7023e-06, 2.45503e-06, 1.9082423e-05, 2.3155899e-06]"
sat_subsetcard_12_72_25143.cnf,"[5.954800008112215e-06, 8.015400067051814e-06, 2.3956199947861022e-05, 6.580799981747986e-06]","[3.126433e-05, 1.8547838e-05, 4.137471e-05, 1.152449e-05]","[8.194539e-06, 8.525681e-06, 3.003089e-05, 6.70835e-06]","[6.4365195e-06, 8.02923e-06, 3.025457e-05, 5.776041e-06]","[3.1405202e-06, 3.8611e-06, 2.27257e-05, 3.86035e-06]","[3.1798604e-06, 3.6039303e-06, 2.277305e-05, 3.9354395e-06]"
sat_4clique_32_404_34389.cnf,"[6.2269999489217295e-06, 4.403389996241458e-05, 0.00019871219999458844, 3.420509999614296e-05]","[9.884722e-05, 4.801825e-05, 0.00014751809, 2.940371e-05]","[2.3274902e-06, 2.08272e-06, 1.3631119e-05, 2.0373698e-06]","[7.4770905e-06, 1.13078995e-05, 2.552268e-05, 2.3309378e-05]","[2.47083e-06, 2.2106099e-06, 1.954099e-05, 2.2110003e-06]","[2.53836e-06, 2.23998e-06, 1.923664e-05, 2.2561203e-06]"
